epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
104,252923,0.94864,1.37533,0.58566,0.00787,0.30265,0.97121,0.83558,0.90212,0.7138,0.96809,0.83681,0.90154,0.70478,0.97813,1.6742,0.849,0.00982,0,0.00039803,0.00039803,0.00039803
105,255257,0.93033,1.36419,0.58571,0.00773,0.29078,0.95702,0.87427,0.93715,0.73471,0.95836,0.8755,0.93595,0.723,0.93921,1.59686,0.63735,0.00944,0,0.00039704,0.00039704,0.00039704
106,257712,0.93695,1.37026,0.58193,0.00756,0.29069,0.96114,0.85521,0.93623,0.71683,0.95733,0.85336,0.92828,0.70631,0.98752,1.67021,0.58833,0.00963,0,0.00039605,0.00039605,0.00039605
107,260113,0.9296,1.41413,0.61403,0.0075,0.29711,0.96505,0.87485,0.94865,0.73316,0.95998,0.87485,0.94854,0.71641,0.96851,1.62655,0.52565,0.00944,0,0.00039506,0.00039506,0.00039506
108,262520,0.89631,1.35299,0.5764,0.00728,0.29086,0.94645,0.86135,0.93978,0.72361,0.93953,0.85786,0.93321,0.70765,0.95168,1.6589,0.55891,0.00934,0,0.00039407,0.00039407,0.00039407
109,264911,0.902,1.36967,0.59498,0.00716,0.27696,0.95323,0.87975,0.9356,0.74302,0.95224,0.88071,0.93861,0.72822,0.9292,1.59054,0.56063,0.00893,0,0.00039308,0.00039308,0.00039308
110,267241,0.91933,1.35127,0.57808,0.00757,0.25738,0.95323,0.90036,0.95937,0.74312,0.94965,0.90258,0.95581,0.73044,0.96766,1.62839,0.46109,0.00951,0,0.00039209,0.00039209,0.00039209
111,269450,0.92108,1.37718,0.56989,0.00765,0.26202,0.92408,0.89604,0.94597,0.71707,0.94598,0.87975,0.94395,0.71459,0.99264,1.66248,0.52464,0.00979,0,0.0003911,0.0003911,0.0003911
112,271666,0.90025,1.33994,0.54229,0.00714,0.25831,0.92133,0.89095,0.94037,0.72548,0.93418,0.8773,0.94037,0.71228,0.94948,1.62194,0.54279,0.00952,0,0.00039011,0.00039011,0.00039011
113,273871,0.91828,1.36765,0.57595,0.00749,0.26627,0.9206,0.89626,0.94282,0.72754,0.91808,0.89381,0.94092,0.71877,0.97387,1.63587,0.53007,0.00966,0,0.00038912,0.00038912,0.00038912
114,276259,0.90896,1.33886,0.57469,0.00747,0.27692,0.95571,0.84728,0.91323,0.70596,0.97428,0.82454,0.9044,0.69705,1.01181,1.73834,0.63778,0.00994,0,0.00038813,0.00038813,0.00038813
115,278936,0.88591,1.31213,0.53356,0.00724,0.25829,0.95098,0.89202,0.94841,0.73511,0.95017,0.89202,0.94427,0.72504,0.99095,1.58569,0.51207,0.00965,0,0.00038714,0.00038714,0.00038714
116,281737,0.9465,1.39162,0.59482,0.00781,0.29907,0.95842,0.86748,0.93984,0.73733,0.95842,0.86748,0.93321,0.71989,0.97738,1.64554,0.51128,0.00968,0,0.00038615,0.00038615,0.00038615
117,284523,0.91968,1.38263,0.60666,0.00762,0.28355,0.94485,0.88957,0.94658,0.7251,0.94094,0.88589,0.94258,0.71405,0.99506,1.61067,0.52858,0.00976,0,0.00038516,0.00038516,0.00038516
118,287078,0.88291,1.31383,0.54779,0.00721,0.27021,0.95994,0.86012,0.93423,0.72515,0.95887,0.85644,0.92721,0.70796,0.96095,1.7454,0.56753,0.00956,0,0.00038417,0.00038417,0.00038417
